"","posteam","season","game_id","home_team","away_team","home_score","away_score","touchdown","fourth_down_attempt","punt_inside_twenty","own_kickoff_recovery","extra_point_good","field_goal_made","return_touchdown","two_point_success","pass_touchdown","rush_touchdown","interception","fumble_lost","safety","offensive_retention","defensive_retention","special_retention"
"46","ARI",2006,"2006_05_KC_ARI","ARI","KC",20,23,2,1,2,0,2,2,0,0,2,0,1,0,0,18,18,3
"47","ARI",2006,"2006_06_CHI_ARI","ARI","CHI",23,24,5,0,2,0,2,3,3,0,2,0,0,2,0,18,18,3
"48","ARI",2006,"2006_10_DAL_ARI","ARI","DAL",10,27,1,3,0,0,1,1,0,0,0,1,2,1,0,18,18,3
"49","ARI",2007,"2007_01_ARI_SF","SF","ARI",20,17,2,0,3,0,2,1,0,0,1,1,2,0,0,13,16,2
"50","ARI",2007,"2007_02_SEA_ARI","ARI","SEA",23,20,2,0,3,0,2,3,0,0,1,1,1,0,0,13,16,2
"51","ARI",2007,"2007_11_ARI_CIN","CIN","ARI",27,35,4,0,0,0,5,0,0,0,2,1,0,0,0,13,16,2
"52","ARI",2007,"2007_05_ARI_STL","LA","ARI",31,34,3,1,0,0,4,2,0,0,1,1,2,0,0,13,16,2
"53","ARI",2007,"2007_16_ATL_ARI","ARI","ATL",30,27,3,1,2,0,3,3,0,0,3,0,0,0,0,13,16,2
"54","ARI",2007,"2007_07_ARI_WAS","WAS","ARI",21,19,4,2,0,0,1,0,1,0,3,0,2,1,0,13,16,2
"55","ARI",2007,"2007_17_STL_ARI","ARI","LA",48,19,5,3,0,0,6,2,1,0,3,1,2,0,0,13,16,2
"56","ARI",2007,"2007_14_ARI_SEA","SEA","ARI",42,21,4,2,1,0,3,0,1,0,3,0,5,0,1,13,16,2
"57","ARI",2007,"2007_15_ARI_NO","NO","ARI",31,24,3,2,2,0,3,1,0,0,3,0,1,1,0,13,16,2
"58","ARI",2007,"2007_12_SF_ARI","ARI","SF",31,37,5,2,1,0,4,1,1,0,3,1,2,2,0,13,16,2
"59","ARI",2007,"2007_06_CAR_ARI","ARI","CAR",10,25,1,0,2,0,1,1,0,0,0,1,3,2,0,13,16,2
"60","ARI",2007,"2007_03_ARI_BAL","BAL","ARI",26,23,3,0,1,0,2,3,1,0,2,0,0,1,0,13,16,2
"61","ARI",2007,"2007_13_CLE_ARI","ARI","CLE",27,21,2,0,1,0,3,2,0,0,2,0,1,1,0,13,16,2
"62","ARI",2007,"2007_10_DET_ARI","ARI","DET",31,21,4,0,2,0,4,1,0,0,4,0,1,3,0,13,16,2
"63","ARI",2007,"2007_09_ARI_TB","TB","ARI",17,10,1,0,1,0,1,1,0,0,0,1,2,0,0,13,16,2
"64","ARI",2007,"2007_04_PIT_ARI","ARI","PIT",21,14,2,1,2,0,3,0,0,0,1,1,0,2,0,13,16,2
"65","ARI",2008,"2008_01_ARI_SF","SF","ARI",13,23,2,3,2,0,2,3,0,0,1,1,0,0,0,19,17,2
"66","ARI",2008,"2008_05_BUF_ARI","ARI","BUF",41,17,5,2,0,0,5,2,0,0,2,3,0,0,0,19,17,2
"67","ARI",2008,"2008_02_MIA_ARI","ARI","MIA",31,10,4,0,2,0,4,1,0,0,3,1,0,0,0,19,17,2
"68","ARI",2008,"2008_08_ARI_CAR","CAR","ARI",27,23,3,1,1,0,2,1,0,0,2,1,1,1,0,19,17,2
"69","ARI",2008,"2008_16_ARI_NE","NE","ARI",47,7,1,1,1,0,1,0,0,0,1,0,1,1,0,19,17,2
"70","ARI",2008,"2008_09_ARI_STL","LA","ARI",13,34,3,1,2,0,4,2,0,0,2,1,0,0,0,19,17,2
"71","ARI",2008,"2008_14_STL_ARI","ARI","LA",34,10,2,0,2,0,4,2,0,0,1,1,1,0,0,19,17,2
"72","ARI",2008,"2008_11_ARI_SEA","SEA","ARI",20,26,2,0,0,0,2,4,0,0,1,1,1,1,0,19,17,2
"73","ARI",2008,"2008_12_NYG_ARI","ARI","NYG",29,37,3,0,1,0,2,3,0,0,1,2,1,1,0,19,17,2
"74","ARI",2008,"2008_03_ARI_WAS","WAS","ARI",24,17,2,0,1,0,2,1,0,0,2,0,1,1,0,19,17,2
"75","ARI",2008,"2008_15_MIN_ARI","ARI","MIN",14,35,2,3,2,0,2,0,1,0,1,0,1,1,0,19,17,2
"76","ARI",2008,"2008_17_SEA_ARI","ARI","SEA",34,21,4,0,2,0,4,2,0,0,4,0,1,1,0,19,17,2
"77","ARI",2008,"2008_13_ARI_PHI","PHI","ARI",48,20,3,2,0,0,2,0,0,0,3,0,3,2,0,19,17,2
"78","ARI",2008,"2008_04_ARI_NYJ","NYJ","ARI",56,35,6,2,1,0,3,0,1,1,2,3,3,4,0,19,17,2
"79","ARI",2008,"2008_10_SF_ARI","ARI","SF",29,24,3,1,2,0,2,3,0,0,3,0,0,0,0,19,17,2
"80","ARI",2008,"2008_06_DAL_ARI","ARI","DAL",30,24,3,0,1,0,3,1,1,0,2,0,1,2,0,19,17,2
"81","ARI",2009,"2009_06_ARI_SEA","SEA","ARI",3,27,3,0,4,0,3,2,0,0,2,1,1,1,0,18,20,2
"82","ARI",2009,"2009_09_ARI_CHI","CHI","ARI",21,41,5,0,3,0,5,2,0,0,5,0,1,0,0,18,20,2
"83","ARI",2009,"2009_08_CAR_ARI","ARI","CAR",21,34,4,2,1,0,3,0,1,0,2,1,5,1,0,18,20,2
"84","ARI",2009,"2009_10_SEA_ARI","ARI","SEA",31,20,4,2,3,0,4,1,0,0,2,2,0,0,0,18,20,2
"85","ARI",2009,"2009_17_GB_ARI","ARI","GB",7,33,2,0,3,0,1,0,1,0,1,0,3,0,1,18,20,2
"86","ARI",2009,"2009_05_HOU_ARI","ARI","HOU",28,21,3,0,3,0,4,0,0,0,2,1,0,1,0,18,20,2
"87","ARI",2009,"2009_03_IND_ARI","ARI","IND",10,31,1,2,3,0,1,1,0,0,1,0,2,1,0,18,20,2
"88","ARI",2009,"2009_13_MIN_ARI","ARI","MIN",30,17,3,0,2,0,3,3,0,0,3,0,0,1,0,18,20,2
"89","ARI",2009,"2009_01_SF_ARI","ARI","SF",16,20,1,1,1,0,1,3,0,0,1,0,2,0,0,18,20,2
"90","ARI",2009,"2009_02_ARI_JAX","JAX","ARI",17,31,3,1,1,0,4,1,0,0,2,1,0,1,0,18,20,2
"91","ARI",2009,"2009_15_ARI_DET","DET","ARI",24,31,5,0,3,0,4,1,1,0,2,2,1,2,0,18,20,2
"92","ARI",2009,"2009_07_ARI_NYG","NYG","ARI",17,24,3,0,4,0,3,1,0,0,1,2,1,1,0,18,20,2
"93","ARI",2009,"2009_14_ARI_SF","SF","ARI",24,9,1,1,2,0,0,1,0,0,0,1,2,5,0,18,20,2
"94","ARI",2009,"2009_16_STL_ARI","ARI","LA",31,10,4,0,2,0,4,1,0,0,2,2,0,2,0,18,20,2
"95","ARI",2009,"2009_12_ARI_TEN","TEN","ARI",20,17,2,0,5,0,2,1,1,0,0,1,0,0,0,18,20,2
"96","ARI",2009,"2009_11_ARI_STL","LA","ARI",13,21,3,0,2,0,3,0,0,0,2,1,0,2,0,18,20,2
"97","ARI",2010,"2010_01_ARI_STL","LA","ARI",13,17,2,0,2,0,2,1,0,0,1,1,0,4,0,15,17,2
"98","ARI",2010,"2010_08_TB_ARI","ARI","TB",35,38,6,2,2,0,5,0,2,0,2,2,4,1,0,15,17,2
"99","ARI",2010,"2010_03_OAK_ARI","ARI","LV",24,23,3,1,2,0,3,1,1,0,2,0,1,0,0,15,17,2
"100","ARI",2010,"2010_13_STL_ARI","ARI","LA",6,19,0,0,2,0,0,2,0,0,0,0,2,0,0,15,17,2
"101","ARI",2010,"2010_05_NO_ARI","ARI","NO",30,20,1,1,3,0,3,3,0,0,0,0,1,0,0,15,17,2
"102","ARI",2010,"2010_12_SF_ARI","ARI","SF",6,27,0,1,0,0,0,2,0,0,0,0,1,1,0,15,17,2
"103","ARI",2010,"2010_11_ARI_KC","KC","ARI",31,13,1,2,2,0,1,2,0,0,1,0,0,0,0,15,17,2
"104","ARI",2010,"2010_09_ARI_MIN","MIN","ARI",27,24,2,0,0,0,3,1,1,0,1,0,0,0,0,15,17,2
"105","ARI",2010,"2010_16_DAL_ARI","ARI","DAL",27,26,1,1,2,0,3,2,0,0,1,0,0,0,0,15,17,2
"106","ARI",2010,"2010_04_ARI_SD","LAC","ARI",41,10,1,1,1,0,1,1,1,0,0,0,2,1,0,15,17,2
"107","ARI",2010,"2010_17_ARI_SF","SF","ARI",38,7,2,3,2,0,1,0,1,0,1,0,2,0,0,15,17,2
"108","ARI",2010,"2010_14_DEN_ARI","ARI","DEN",43,13,3,1,3,0,4,5,0,0,0,3,0,1,0,15,17,2
"109","ARI",2010,"2010_15_ARI_CAR","CAR","ARI",19,12,1,1,2,0,0,2,0,0,0,0,1,1,0,15,17,2
"110","ARI",2010,"2010_10_SEA_ARI","ARI","SEA",18,36,2,2,3,0,1,1,0,1,1,1,1,1,0,15,17,2
"111","ARI",2010,"2010_07_ARI_SEA","SEA","ARI",22,10,1,1,2,0,1,1,0,0,0,1,1,3,0,15,17,2
"112","ARI",2010,"2010_02_ARI_ATL","ATL","ARI",41,7,1,1,1,0,1,0,0,0,0,1,3,0,0,15,17,2
"113","ARI",2011,"2011_10_ARI_PHI","PHI","ARI",17,21,4,1,1,0,3,0,1,0,3,0,2,0,0,18,16,3
"114","ARI",2011,"2011_14_SF_ARI","ARI","SF",21,19,3,0,1,0,3,0,0,0,3,0,2,1,0,18,16,3
"115","ARI",2011,"2011_09_STL_ARI","ARI","LA",19,13,1,0,3,0,1,2,0,0,1,0,0,0,2,18,16,3
"116","ARI",2011,"2011_08_ARI_BAL","BAL","ARI",30,27,2,1,3,0,3,2,0,0,1,1,1,0,0,18,16,3
"117","ARI",2011,"2011_01_CAR_ARI","ARI","CAR",28,21,3,0,2,0,4,0,0,0,2,1,0,1,0,18,16,3
"118","ARI",2011,"2011_04_NYG_ARI","ARI","NYG",27,31,3,2,0,0,3,2,0,0,0,3,1,1,0,18,16,3
"119","ARI",2011,"2011_17_SEA_ARI","ARI","SEA",23,20,2,1,2,0,2,3,0,0,1,1,1,1,0,18,16,3
